panel,series,case,component,order,N,x,y,value,unit,formula,evidenceClass,note
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-4,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.9666666666666668,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.9333333333333331,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.8999999999999999,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.8666666666666667,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.8333333333333335,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.7999999999999998,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.7666666666666666,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.7333333333333334,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.7000000000000002,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.6666666666666665,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.6333333333333333,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.6000000000000001,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.5666666666666664,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.5333333333333332,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.5,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.4666666666666668,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.4333333333333336,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.3999999999999999,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.3666666666666667,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.3333333333333335,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.2999999999999998,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.2666666666666666,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.2333333333333334,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.2000000000000002,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.1666666666666665,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.1333333333333333,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.1000000000000001,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.0666666666666664,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3.0333333333333332,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-3,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-2.9666666666666668,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-2.9333333333333336,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-2.8999999999999999,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
A,softProfile,"odd m=1, b>0",a_epsilon/A,1,,-2.8666666666666667,0,0,normalized amplitude,1_active_side*s^(2m)/(1+s^(2m)),exact finite-order theorem,s=(t-t0)/delta_epsilon; A normalized to one
