panel,series,case,N,x,y,value,unit,formula,evidenceClass,note
A,critical H^-1 packet cost,,1,1,8.0,8.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,1,1,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
A,critical H^-1 packet cost,,2,2,32.0,32.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,2,2,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
A,critical H^-1 packet cost,,4,4,128.0,128.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,4,4,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
A,critical H^-1 packet cost,,8,8,512.0,512.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,8,8,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
A,critical H^-1 packet cost,,16,16,2048.0,2048.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,16,16,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
A,critical H^-1 packet cost,,32,32,8192.0,8192.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,32,32,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
A,critical H^-1 packet cost,,64,64,32768.0,32768.0,dimensionless coefficient,1/h=K^2/theta,exact nonzero-mean box packet,time sampling on the Leray-paid amplitude
A,strong L2 coefficient,,64,64,8.0,8.0,dimensionless coefficient,K^-2/h=1/theta,exact nonzero-mean box packet,constant only after moving to the strong L2 Lamb ledger
B,largest eigenvalue,N=64,64,1,1.0,1.0,Gram eigenvalue,lambda_max(G),exact finite box Gram matrix,same spatial direction; p=Nh/T
B,exact Rayleigh lower,N=64,64,1,1.0,1.0,Gram eigenvalue,p-(p^2-1)/(3N),exact finite box Gram matrix,same spatial direction; p=Nh/T
