panel,record,value_exact,formula,status,note
A,payment_radius_over_R,2/1,payment_radius=2R,FINITE EXACT,payment radius
A,shell_index,5/1,k=5,FINITE EXACT,annular row
A,shell_inner_over_R,64/1,2^5(2R)=64R,FINITE EXACT,closed inner boundary
A,shell_outer_over_R,128/1,2^6(2R)=128R,FINITE EXACT,open outer boundary
A,proof_box_x3_lower_over_R,80/1,80R,ANALYTIC INPUT,central lift
A,proof_box_x3_upper_over_R,96/1,96R,ANALYTIC INPUT,central lift
A,proof_box_volume_over_R3,64/1,(2R)(2R)(16R),FINITE EXACT,64R^3
A,outer_square,9218/1,96^2+1+1,FINITE EXACT,less than 128^2
A,outer_square_margin,7166/1,128^2-9218,FINITE EXACT,positive containment margin
A,plateau_distance_over_R,48/1,80R-32R,PROVED ANALYTIC CONSEQUENCE,circle distance floor
A,exit_probability_upper,65/1152,130/2304,FINITE EXACT,Chebyshev arithmetic
A,theta_lower,511/576,1-65/576,PROVED ANALYTIC CONSEQUENCE,strictly above 1/2
B,time_length_over_R2,4/1,|I_(2R)|=4R^2,FINITE EXACT,time ledger
B,payment_normalization,1/4,(2R)^-2=(1/4)R^-2,FINITE EXACT,normalization ledger
B,theta_cube_floor,1/8,(1/2)^3,FINITE EXACT,profile floor
B,Gu_lower_coefficient,8/1,(1/4)*4*64*(1/8),FINITE EXACT,finite coefficient inside the analytic lower bound
B,Gu_R_power,3/1,-2+2+3,FINITE EXACT,R exponent
B,log_payment_rate,3/320,3/320,PROVED,limit of log(P_j)/L_j^2
B,old_log_window_lower,1/160,2/320,INHERITED,R0.74I liminf lower bound
B,old_log_window_upper,3/320,3/320,INHERITED,R0.74I limsup upper bound
B,lacunarity_rate,9/320,9/320,PROVED,log(P_(j+1)/P_j)/L_j^2
B,frontier_L_power,1/1,P^(2/3)sqrt(log P),PROVED FOR FAMILY,endpoint compatibility only
