panel,series,case,N,x,y,value,unit,formula,evidenceClass,note
A,Lamb Sobolev order,,,0.0,-0.0,-0.0,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.0,1.0,1.0,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.02,-0.01,-0.01,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.02,0.99,0.99,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.04,-0.02,-0.02,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.04,0.98,0.98,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.06,-0.03,-0.03,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.06,0.97,0.97,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.08,-0.04,-0.04,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.08,0.96,0.96,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.1,-0.05,-0.05,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.1,0.95,0.95,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.12,-0.06,-0.06,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.12,0.94,0.94,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.14,-0.07,-0.07,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.14,0.9299999999999999,0.9299999999999999,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.16,-0.08,-0.08,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.16,0.92,0.92,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.18,-0.09,-0.09,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.18,0.91,0.91,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.2,-0.1,-0.1,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.2,0.9,0.9,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,Lamb Sobolev order,,,0.22,-0.11,-0.11,Sobolev order,F in H^(-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
A,vorticity Sobolev order,,,0.22,0.89,0.89,Sobolev order,W in H^(1-rho/2),exact derivative ledger,rho=0 critical; rho=2 minimal Leray matched
