panel,category,record,expression,role,status,boundary_note
A,exact family,velocity,"u=(AF,B exp(-t) cos(x3),0); p=0",exact smooth periodic NSE,proved,analytic formula; no DNS
A,mean,global spatial mean,u_bar=0,Version-A frame,proved,constant-global-mean centre remains fixed
A,centre,Version-A centre,x_c(t)=0,fixed observation centre,proved,global-mean subtraction is the identity
A,trajectory,reference endpoints,Q(R^2)=q*=1/2; Q(65R^2)=q_m=M R,local packet path,proved,reference path in x3=0 plane
A,packet,initial profile,R^3 d_2 K_R^2(x2-q_pre) K_R^2(x3),localized derivative-heat packet,proved,scale R in x2 and x3; invariant in x1
A,geometry,target annulus,(2/3)M R <= |x| < (4/3)M R,A_m(R),proved,positive-measure endpoint slab
B,drift,residual coefficient,d=B exp(-t)(1-cos(x3)) <= 0,one-sided mechanism,proved,B<0
B,drift,accumulated displacement,"D=integral d(t-s,X_s) ds <= 0",time-reversed diffusion,proved,nonautonomous order is t-s
B,target bridge,weighted first moment,E[|D| K_R^2(X_t)] <= C R,target perturbation,proved,unknown C not plotted
B,target,lower bound,A^2 M R^2 exp(-M^2/288),X_R lower bound,proved,endpoint interval has positive measure
B,leakage,one-sided separation,z<0 implies |z+D| >= |z|,fixed-centre Gaussian suppression,proved,central chart; no periodic wrap
B,leakage,quadratic row,A^2 R^2 Pi(M) exp(-M^2/264),buffered local energy,proved,Pi(M)=(1+M)^18 after relaxation
B,exponent,strict margin,1/264-1/288=1/3168>0,target versus leakage,proved,exponential margin beats fixed polynomial
B,copies,periodic lift,all annuli and all periodic copies,effective weights,proved,no copy truncation
C,sequence,radius,R=exp(-M^2/96),explicit divergence sequence,proved,M tends to infinity
C,sequence,amplitude,A=R^(-2) exp(M^2/576),explicit divergence sequence,proved,finite for each M
C,ratio,background,L/R^(-2)=M,P_R^(2/3) row,proved,tends to infinity
C,ratio,local leakage,M/Pi(M) exp(M^2(1/264-1/288)),P_R^(2/3) row,proved,tends to infinity
C,ratio,exterior residence,M^(7/3) exp(M^2/288),P_R^(2/3) row,proved,tends to infinity
C,conclusion,global-mean Version A,X_R/P_R^(2/3) -> infinity,negative theorem,proved,specific frozen annular ledger
C,boundary,local or mollified frame,unknown,transport-aware repair,open,no theorem claimed
C,boundary,explicit entrance flux,unknown,fixed-centre repair,open,no theorem claimed
C,literature,2D3C/shear/moving-frame mechanisms,known frameworks,known-framework boundary,prior art,no priority claim
C,scope,Millennium problem,unresolved,not a Clay result,boundary,no regularity or blow-up theorem
