panel,category,record,expression,role,status,boundary_note
A,geometry,fixed core,|x| < 8R,local buffer,proved,not to scale
A,geometry,target annulus,(2/3)MR <= |x| < (4/3)MR,A_m(R),proved,M=3*2^(m-1)
A,trajectory,entrance centre,q(t_-)=q*=1/2,remote strip,proved,local buffer sees Gaussian tail
A,trajectory,endpoint centre,q(t_0)=MR,target strip,proved,strong derivative-kernel strip
A,local leakage,quadratic,A^2 R^2 Pi(M) exp(-M^2/264),payment row,proved,strictly faster decay than target weight
A,target,lower bound,A^2 M^2 R^2 exp(-M^2/288),X_R lower bound,proved,positive-measure endpoint interval
B,payment,constant background,R^(-2),P_R^(2/3),proved,ratio after substitution: M^2
B,payment,local heat leakage,A^2 R^2 Pi(M) exp(-M^2/264),P_R^(2/3),proved,ratio: M^2/Pi(M) exp(M^2(1/264-1/288))
B,payment,exterior residence,A^2 R^(8/3) M^(-2/3),P_R^(2/3),proved,ratio: M^(8/3) exp(M^2/288)
B,sequence,radius,R=exp(-M^2/96),test sequence,proved,M tends to infinity
B,sequence,amplitude,A=R^(-2) exp(M^2/576),test sequence,proved,finite for each M
B,conclusion,fixed-centre endpoint,X_R/P_R^(2/3) -> infinity,theorem,proved,exact smooth periodic NSE
C,boundary,fixed centre,pure P^(2/3) endpoint fails,negative theorem,proved,specific frozen R0.74B ledger
C,boundary,co-moving mean subtraction,present family becomes non-advected,mechanism test,proved,removes this counterexample only
C,boundary,co-moving pure closure,unknown,revised positive question,open,no theorem claimed
C,literature,witness class and moving/skewed frames,known frameworks,prior art,bounded statement,no priority claim
C,scope,Millennium problem,unresolved,not a Clay result,boundary,no regularity or blow-up theorem
