panel,series,x,y,x_unit,y_unit,exact_value,role,source_locator,note
A,outer x1 left,-1/4,0,normalized/step,normalized/exponent,-sqrt(pL)R/4,geometry,A.9,moving strip face
A,core x1 left,-3/16,0,normalized/step,normalized/exponent,-3sqrt(pL)R/16,geometry,A.10,strictly nested
A,core x1 right,3/16,0,normalized/step,normalized/exponent,3sqrt(pL)R/16,geometry,A.10,strictly nested
A,outer x1 right,1/4,0,normalized/step,normalized/exponent,sqrt(pL)R/4,geometry,A.9,moving strip face
A,z outer left,5/4,-1,normalized/step,normalized/exponent,5R/4,geometry,A.9,normalized z face
A,z core left,21/16,-15/16,normalized/step,normalized/exponent,21R/16,geometry,A.10,strict gap
A,z core right,23/16,-9/16,normalized/step,normalized/exponent,23R/16,geometry,A.10,strict gap
A,z outer right,3/2,-1/2,normalized/step,normalized/exponent,3R/2,geometry,A.9,normalized z face
A,strip volume,1/16,,normalized/step,normalized/exponent,|S_+|=(1/16)sqrt(pL)R^3,geometry,A.12,analytic geometry
B,persistent branch,0,,normalized/step,normalized/exponent,E(t)>=E_*/2 for all t in J,proof branch,A.24,X>=(c_0/2)E_*R^3
B,drop branch,1,,normalized/step,normalized/exponent,exists t_0: E(t_0)<E_*/2,proof branch,A.25,endpoint rise is charged
B,cutoff error,2,,normalized/step,normalized/exponent,E'<=K_phi R^-3 M,proof branch,A.22,exact R^-3 scale
B,common conclusion,3,,normalized/step,normalized/exponent,X>=c_1E_*R^3,proof branch,A.26,exhaustive dichotomy
C,X,0,3,normalized/step,normalized/exponent,X>=cE_*R^3,exact ledger,A.26,R exponent
C,support,1,6,normalized/step,normalized/exponent,volume<=CL^(1/2)R^6,exact ledger,A.27,support volume
C,Holder,2,3/2,normalized/step,normalized/exponent,int|u|^3>=cE_*^(3/2)R^(3/2)L^(-1/4),exact ledger,A.28,cubic step
C,weight,3,1/4,normalized/step,normalized/exponent,W_2R>=omega^(1/4),exact ledger,A.13; A.29,payment weight
C,endpoint,4,-1,normalized/step,normalized/exponent,E_*>=(2R/omega)h_rem,exact ledger,A.30,endpoint substitution
C,payment,5,-5/4,normalized/step,normalized/exponent,P>=ch^(3/2)R omega^(-5/4)L^(-1/4),exact ledger,A.31,payment
C,two-thirds,6,-5/6,normalized/step,normalized/exponent,P^(2/3)>=chR^(2/3)omega^(-5/6)L^(-1/6),exact ledger,A.1,final
C,rate,7,64279/238140000,normalized/step,normalized/exponent,64279/238140000>0,exact ledger,A.34,strict positive
D,PROVED,0,,normalized/step,normalized/exponent,moving-cutoff identity; local dichotomy; W-remote payment,claim hierarchy,A.18; A.26; A.1,exact smooth family
D,EXACT,1,,normalized/step,normalized/exponent,horizontal modal energy and decay,claim hierarchy,A.36--A.42,global ledger
D,OPEN,2,,normalized/step,normalized/exponent,complete K; fixed deletion; arbitrary suitable weak solutions; regularity,claim hierarchy,A.4; Section 8,no promotion
D,NEXT A.63,3,,normalized/step,normalized/exponent,remote complete-clock extraction,claim hierarchy,A.63,all endpoint and accumulated rows
