panel,record,L_exponent_exact,formula,status,note
A,quadratic_cutoff,2/3,P_0^(2/3),EXACT EXPONENT,quadratic cutoff row
A,energy_after_outer_power,1/1,(E^(3/2))^(2/3)=E,EXACT IDENTITY,buffered energy becomes linear
A,acceleration_after_outer_power,1/1,(J_acc^(3/2))^(2/3)=J_acc,EXACT IDENTITY,Version-F acceleration is already paid
A,collar_after_outer_power,1/1,(C_R^(3/2))^(2/3)=C_R,EXACT IDENTITY,positive collar flux becomes linear
A,small_regime_reference,2/3,0<=P<=1: P<=P^(2/3),EXACT IMPLICATION,small-payment closure
A,large_regime_reference,1/1,P>=1: P^(2/3)<=P,EXACT IMPLICATION,linear ledger dominates at large payment
A,repair_sum_constant,2/1,P^(2/3)+C<=2(P+C^(3/2))^(2/3),EXACT IMPLICATION,non-sharp algebraic factor
B,old_payment,0/1,P^(2/3)/(B^2 R^2) ~ L^0,CERTIFIED EXPONENT,old payment misses L
B,endpoint,1/1,X/(B^2 R^2) >= c L^1,ANALYTIC LOWER SCALE,R0.74F-G terminal target
B,positive_collar_flux,1/1,C_R/(B^2 R^2) >= c L^1,ANALYTIC LOWER SCALE,R0.74H positive flux lower bound
B,cubicized_collar_inside_payment,3/2,C_R^(3/2)/(B^3 R^3) >= c L^(3/2),CERTIFIED EXPONENT,inside repaired payment
