panel,record,gamma_exact,value_exact,formula,status,note
A,normalized_cubic_scaling,,0/1,r^-2 integral_Qr |u|^3,FINITE EXACT,scale-invariant normalized cubic quantity
A,half_radius_time_factor,1/2,1/4,|I_(R/2)|/|I_R|,FINITE EXACT,parabolic time factor
A,half_radius_normalization,1/2,4/1,(R/2)^-2 / R^-2,FINITE EXACT,normalization factor
A,half_radius_factor_product,1/2,1/1,(1/4)*4,FINITE EXACT,exact cancellation
A,energy_payment_inverse_chain,,1/1,(3/2)*(2/3),FINITE EXACT,payment-to-energy exponent recovery
A,tube_payment_threshold_chain,,1/1,(3/2)*(2/3),FINITE EXACT,tube threshold exponent compatibility
A,path_confinement,1/2,1/2,sup_t |X_R(t)-x0| <= R/2,ANALYTIC IMPLICATION,symbolic threshold; no epsilon value plotted
A,fixed_cylinder_cubic,1/2,3/2,(R/2)^-2 int_Q(R/2)|u|^3 <= C E_R^(3/2),ANALYTIC IMPLICATION,unknown C is symbolic and not plotted
B,screen_gamma_0/1,0/1,1/1,y(gamma)=1-2 gamma,REJECTED,exact affine residual exponent
B,screen_gamma_1/4,1/4,1/2,y(gamma)=1-2 gamma,REJECTED,exact affine residual exponent
B,screen_gamma_1/2,1/2,0/1,y(gamma)=1-2 gamma,OPEN ENDPOINT,exact affine residual exponent
B,screen_gamma_3/4,3/4,-1/2,y(gamma)=1-2 gamma,NOT REJECTED / NOT PROVED,exact affine residual exponent
B,screen_gamma_1/1,1/1,-1/1,y(gamma)=1-2 gamma,NOT REJECTED / NOT PROVED,exact affine residual exponent
B,rho,,1/320,rho,FINITE EXACT,frozen packet parameter
B,log_window_lower,,1/160,2 rho,FINITE EXACT,lower coefficient of log P_j / L_j^2
B,log_window_upper,,3/320,3 rho,FINITE EXACT,upper coefficient of log P_j / L_j^2
B,log_window_width,,1/320,3 rho - 2 rho,FINITE EXACT,window width
B,lacunarity_exponent,,1/64,8 rho - 3 rho,FINITE EXACT,consecutive-index lower-minus-upper exponent
B,frontier_L_power,1/2,1/1,P^(2/3) sqrt(log P) supplies L^1,FINITE EXACT,endpoint-compatible power only
